Character	Code-point	Unicode Name	HTML Entity	CreatZy Code	Additional Keywords
π	U+03C0	Greek small letter pi	&pi;		pi, gre.p
ρ	U+03C1	Greek small letter rho	&rho;		rho, gre.r
σ	U+03C3	Greek small letter sigma	&sigma;		sigma, gre.s
ς	U+03C2	Greek small letter final sigma	&sigmaf;, &sigmav;, &varsigma;		variant sigma
τ	U+03C4	Greek small letter tau	&tau;		tau, gre.t
υ	U+03C5	Greek small letter upsilon	&upsi;, &upsilon;		upsilon, gre.u
φ	U+03C6	Greek small letter phi	&phi;		phi, gre.f
ϕ	U+03D5	Greek phi symbol	&phiv;, &straightphi;, &varphi;		straight phi, variant phi, gre.ph
χ	U+03C7	Greek small letter chi	&chi;		chi, gre.ch
ψ	U+03C8	Greek small letter psi	&psi;		psi, gre.ps
ω	U+03C9	Greek small letter omega	&omega;		omega, ômega, gre.ô
ℂ	U+2102	double-struck capital C	&Copf;, &complexes;		Complex number, open-face capital C
ℋ	U+210B	script capital H	&Hscr;, &hamilt;, &HilbertSpace;		Hilbert space, Hamiltonian mechanics
ℌ	U+210C	black-letter capital H	&Hfr;, &Poincareplane;		Fraktur capital H, Poincare plane
ℍ	U+210D	double-struck capital H	&Hopf;, &quaternions;		Quaternion, open-face capital H
ℎ	U+210E	planck constant	&planckh;		
ℏ	U+210F	planck constant over two pi	&hbar;, &hslash;, &planck;, &plankv;		h bar, h slash, Planck variant
ℐ	U+2110	script capital I	&Iscr;, &imagline;		imaginary line
ℑ	U+2111	black-letter capital I	&Im;, &Ifr;, &image;, &imagpart;		Fraktur capital I, imaginary part
ℒ	U+2112	script capital L	&Lscr;, &lagran;, &Laplacetrf;		Lagrangian mechanics, Laplace transform
ℓ	U+2113	script small l	&ell;		mathematical ell
ℕ	U+2115	double-struck capital N	&Nopf;, &naturals;		Natural number, open-face capital N
№	U+2116	numero sign	&numero;		
℘	U+2118	script capital P	&wp;, &weierp;		power set, Weierstrass p
ℙ	U+2119	double-struck capital P	&Popf;, &primes;		prime number, open-face capital P
ℚ	U+211A	double-struck capital Q	&Qopf;, &rationals;		rational number, open-face capital Q
ℛ	U+211B	script capital R	&Rscr;, &realine;		Riemann integral, real line
ℜ	U+211C	black-letter capital R	&Re;, &Rfr;, &real;, &realpart;		Fraktur capital R, real part symbol
ℝ	U+211D	double-struck capital R	&Ropf;, &reals;		real number
℞	U+211E	prescription take	&rx;		Rx
ℤ	U+2124	double-struck capital Z	&Zopf;, &integers;		integer number
℧	U+2127	inverted ohm sign	&mho;		Mho
ℨ	U+2128	black-letter capital Z	&Zfr;, &zeetrf;		Fraktur capital Z, dram
ℬ	U+212C	script capital B	&Bscr;, &bernou;, &Bernoullis;		Bernoulli polynomials
ℭ	U+212D	black-letter capital C	&Cfr;, &Cayleys;		Fraktur capital C, 
ℯ	U+212F	script small e	&escr;		natural logarithm base, Euler's number, Napier's constant
ℰ	U+2130	script capital E	&Escr;, &expectation;		electromotive force, expected value
ℱ	U+2131	script capital F	&Fscr;, &Fouriertrf;		Fourier transform
ℳ	U+2133	script capital M	&Mscr;, &phmmat;, &Mellintrf;		Mellin transform, M-matrix
ℴ	U+2134	script small o	&oscr;, &order;, &orderof;		order, of inferior order to
ℵ	U+2135	alef symbol	&aleph;, &alefsym;		first transfinite cardinal
ℶ	U+2136	bet symbol	&beth;		beth symbol
ℸ	U+2138	dalet symbol	&daleth;		daleth symbol
ⅅ	U+2145	double-struck italic capital D	&DD;, &CapitalDifferentialD;		derivative symbol
ⅆ	U+2146	double-struck italic small d	&dd;, &DifferentialD;		differential symbol
ⅇ	U+2147	double-struck italic small e	&ee;, &exponentiale;, &ExponentialE;		
ⅈ	U+2148	double-struck italic small i	&ii;, &ImaginaryI;		imaginary unit
Å	U+00C5	Latin capital letter A with ring above	&angst;, &Aring;		
Å	U+212B	angstrom sign			Ångström sign
ℼ	U+213C	double-struck small pi			circle constant
ℾ	U+213E	double-struck capital Gamma			gamma function
ℿ	U+213F	double-struck capital Pi			product notation
⅀	U+2140	double-struck n-ary summation			summation notation
ⅉ	U+2149	double-struck italic small j			imaginary unit in physics
℃	U+2103	degree Celsius			
℉	U+2109	degree Fahrenheit			
⅏	U+214F	symbol for Samaritan source			
# Arrows					
⇔	U+21D4	left right double arrow	&hArr;, &Leftrightarrow;, &DoubleLeftRightArrow;, &iff;	/=\	iff, if and only if
⇒	U+21D2	rightwards double arrow	&rArr;, &Rightarrow;, &Implies;, &DoubleRightArrow;	/=	implies, imply
⇐	U+21D0	leftwards double arrow	&lArr;, &Leftarrow;, &DoubleLeftArrow;	\=	
⇑	U+21D1	upwards double arrow	&uArr;, &Uparrow;, &DoubleUpArrow;	/||	
⇓	U+21D3	downwards double arrow	&dArr;, &Downarrow;, &DoubleDownArrow;	\||	
⇏	U+21CF	rightwards double arrow with stroke	&nrArr;, &nRightarrow;	/!=	not implies, not imply
⇍	U+21CD	leftwards double arrow with stroke	&nlArr;, &nLeftarrow;	\!=	
⇌	U+21CC	rightwards harpoon over leftwards harpoon	&rlhar;, &rightleftharpoons;, &Equilibrium;	/_\_	equilibrium
⇋	U+21CB	leftwards harpoon over rightwards harpoon	&lrhar;, &ReverseEquilibrium;, &leftrightharpoons;	\_/_	reverse equilibrium
⇄	U+21C4	rightwards arrow over leftwards arrow	&rlarr;, &rightleftarrows;, &RightArrowLeftArrow;	/-\-	
⇆	U+21C6	leftwards arrow over rightwards arrow	&lrarr;, &leftrightarrows;, &LeftArrowRightArrow;	\-/-	
⇀	U+21C0	rightwards harpoon with barb upwards	&rharu;, &RightVector;, &rightharpoonup;	/_	right vector
⇁	U+21C1	rightwards harpoon with barb downwards	&rhard;, &rightharpoondown;, &DownRightVector;		down right vector
↼	U+21BC	leftwards harpoon with barb upwards	&lharu;, &LeftVector;, &leftharpoonup;		left vector
↽	U+21BD	leftwards harpoon with barb downwards	&lhard;, &leftharpoondown;, &DownLeftVector;	\_	down left vector
↾	U+21BE	upwards harpoon with barb rightwards	&uharr;, &upharpoonright;, &RightUpVector;		right up vector
↿	U+21BF	upwards harpoon with barb leftwards	&uharl;, &upharpoonleft;, &LeftUpVector;		left up vector
⇂	U+21C2	downwards harpoon with barb rightwards	&dharr;, &RightDownVector;, &downharpoonright;		right down vector
⇃	U+21C3	downwards harpoon with barb leftwards	&dharl;, &LeftDownVector;, &downharpoonleft;		left down vector
↔	U+2194	left right arrow	&harr;, &leftrightarrow;, &LeftRightArrow;, 	/-\	horizontal double-headed arrow
→	U+2192	rightwards arrow	&rarr;, &rightarrow;, &RightArrow;, &srarr;, &ShortRightArrow;, 	/-	
←	U+2190	leftwards arrow	&larr;, &leftarrow;, &LeftArrow;, &slarr;, &ShortLeftArrow;, 	\-	
↕	U+2195	up down arrow	&varr;, &updownarrow;, &UpDownArrow;, 	/|\	vertical double-headed arrow
↑	U+2191	upwards arrow	&uarr;, &uparrow;, &UpArrow;, &ShortUpArrow;, 	/|	
↓	U+2193	downwards arrow	&darr;, &downarrow;, &DownArrow;, &ShortDownArrow;, 	\|	
⇿	U+21FF	left right open-headed arrow	&hoarr;		horizontal open-headed arrow
⇾	U+21FE	rightwards open-headed arrow	&roarr;		
⇽	U+21FD	leftwards open-headed arrow	&loarr;		
↣	U+21A3	rightwards arrow with tail	&rarrtl;, &rightarrowtail;, 	/-/	
↢	U+21A2	leftwards arrow with tail	&larrtl;, &leftarrowtail;	\-\	
⤚	U+291A	rightwards arrow-tail	&ratail;		
⤙	U+2919	leftwards arrow-tail	&latail;		
↦	U+21A6	rightwards arrow from bar	&map;, &RightTeeArrow;, &mapsto;, 	/T	maps to, right tee arrow
↤	U+21A4	leftwards arrow from bar	&LeftTeeArrow;, &mapstoleft;, 	\T	maps to leftward, left tee arrow
↥	U+21A5	upwards arrow from bar	&UpTeeArrow;, &mapstoup;, 	/|T	maps to upward, up tee arrow
↧	U+21A7	downwards arrow from bar	&DownTeeArrow;, &mapstodown;	\|T	maps to downward, down tee arrow
⟷	U+27F7	long left right arrow	&xharr;, &longleftrightarrow;, &LongLeftRightArrow;	/--\	long double-headed arrow
⟶	U+27F6	long rightwards arrow	&xrarr;, &longrightarrow;, &LongRightArrow;	/--	
⟵	U+27F5	long leftwards arrow	&xlarr;, &longleftarrow;, &LongLeftArrow;	\--	
⟺	U+27FA	long left right double arrow	&xhArr;, &Longleftrightarrow;, &DoubleLongLeftRightArrow;	/==\	long double-headed double arrow
⟹	U+27F9	long rightwards double arrow	&xrArr;, &Longrightarrow;, &DoubleLongRightArrow;	/==	
⟸	U+27F8	long leftwards double arrow	&xlArr;, &Longleftarrow;, &DoubleLongLeftArrow;	\==	
⬌	U+2B0C	left right black arrow			
⮕	U+2B95	rightwards black arrow			rightwards thick arrow
⬅	U+2B05	leftwards black arrow			leftwards thick arrow
⬍	U+2B0D	up down black arrow			up down thick arrow
⬆	U+2B06	upwards black arrow			upwards thick arrow
⬇	U+2B07	downwards black arrow			downwards thick arrow
➡	U+27A1	black rightwards arrow			
➳	U+27B3	white-feathered rightwards arrow			
➻	U+27BB	heavy teardrop-shanked rightwards arrow			
↷	U+21B7	clockwise top semicircle arrow	&curarr;, &curvearrowright;, 		curve arrow right
↶	U+21B6	anticlockwise top semicircle arrow	&cularr;, &curvearrowleft;, 		curve arrow left
↻	U+21BB	clockwise open circle arrow	&orarr;, &circlearrowright;, 		circle arrow right, open right arrow
↺	U+21BA	anticlockwise open circle arrow	&olarr;, &circlearrowleft;		circle arrow left, open left arrow
⤾	U+293E	lower right semicircular clockwise arrow			
⤿	U+293F	lower left semicircular anticlockwise arrow			
⟳	U+27F3	clockwise gapped circle arrow			
⟲	U+27F2	anticlockwise gapped circle arrow			
# Circles & Dots					
⥁	U+2941	clockwise closed circle arrow		.o/	clockwise circle
⥀	U+2940	anticlockwise closed circle arrow		.o\	anticlockwise circle
◯	U+25EF	large circle	&xcirc;, &bigcirc;	.O	big circle
○	U+25CB	white circle	&cir;	.o	empty circle
●	U+25CF	black circle		.o*	filled circle
⦾	U+29BE	circled white bullet	&olcir;	.oO	circled light circle, double circle
⊚	U+229A	circled ring operator	&ocir;, &circledcirc;	=oo	double circle operator
◎	U+25CE	bullseye		.oo	small double circle
◉	U+25C9	fisheye		.O*	small circled bullet
⦿	U+29BF	circled bullet	&ofcir;	.o+	
☉	U+2609	Sun		.o.	circled dot, target circle
⊙	U+2299	circled dot operator	&odot;, &CircleDot;	=o.	target circle operator
•	U+2022	bullet	&bull;, &bullet;	.*	black small circle
◦	U+25E6	white bullet		.+	hollow bullet
⚬	U+26AC	medium small white circle			
⬤	U+2B24	black large circle			
⬭	U+2B2D	white horizontal ellipse			
⬯	U+2B2F	white vertical ellipse			
⬬	U+2B2C	black horizontal ellipse			
⬮	U+2B2E	black vertical ellipse			
⌀	U+2300	diameter sign			
ø	U+00F8	Latin small letter o with stroke	&oslash;		Latin small letter o slash
Ø	U+00D8	Latin capital letter O with stroke	&Oslash;		Latin capital letter O slash
©	U+00A9	copyright sign	&copy;, &COPY;	.(C)	
🄯	U+1F12F	copyleft symbol		.(CL)	
®	U+00AE	registered sign	&reg;, &circledR;, &REG;	.(R)	registered trademark symbol
℗	U+2117	sound recording copyright	&copysr;	.(P)	phonogram copyright symbol
